state_name,nsdp_crore_2024_25,per_capita_nsdp_rs,economy_size_category,data_source,data_year,unit,data_confidence,nsdp_share_of_india_pct,per_capita_vs_india_avg_pct,nsdp_rank,per_capita_rank,per_capita_status
Bihar,89902,69321,Medium (50K-1L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Verified,2.96,37.5,14,36,Below National Avg
Odisha,80000,170500,Medium (50K-1L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,2.63,92.2,15,26,Below National Avg
Punjab,74000,237300,Medium (50K-1L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,2.44,128.3,16,21,Above National Avg
Assam,50000,137000,Medium (50K-1L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,1.65,74.1,17,32,Below National Avg
Chhattisgarh,46000,148500,Small (10K-50K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,1.51,80.3,18,31,Below National Avg
Jharkhand,42000,103400,Small (10K-50K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,1.38,55.9,19,35,Below National Avg
Uttarakhand,35000,293800,Small (10K-50K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,1.15,158.8,20,16,Above National Avg
Himachal Pradesh,22000,291200,Small (10K-50K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.72,157.4,22,17,Above National Avg
Jammu and Kashmir,23500,170000,Small (10K-50K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.77,91.9,21,27,Below National Avg
Goa,11500,721000,Small (10K-50K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.38,389.7,23,1,Above National Avg
Tripura,8500,200900,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.28,108.6,24,23,Above National Avg
Meghalaya,5500,160900,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.18,87.0,27,29,Below National Avg
Manipur,4200,127700,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.14,69.0,29,33,Below National Avg
Nagaland,4100,180000,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.14,97.3,30,24,Below National Avg
Arunachal Pradesh,3800,238400,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.13,128.9,31,20,Above National Avg
Sikkim,4500,640300,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.15,346.1,28,2,Above National Avg
Mizoram,3600,285000,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.12,154.1,32,18,Above National Avg
Puducherry,6500,375200,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.21,202.8,25,9,Above National Avg
Chandigarh,6100,484600,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.2,261.9,26,5,Above National Avg
Andaman and Nicobar Islands,1200,296400,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.04,160.2,35,15,Above National Avg
Dadra and Nagar Haveli and Daman and Diu,3200,216400,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.11,117.0,33,22,Above National Avg
Ladakh,1800,592100,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.06,320.1,34,3,Above National Avg
Lakshadweep,320,463700,Very Small (<10K Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,0.01,250.6,36,6,Above National Avg
